Model,MAE,RMSE,MAPE (%),R²
Official Forecast,178.88374919397162,295.52182406157596,1.211010635637181,0.9915508650019652
ESN,130.2242721852504,171.49544989738897,0.875579959734903,0.9971546327040939
LSTM,162.88664102723496,215.09552034354232,1.077788751297383,0.9955239403738037
CNN+LSTM,159.798677116793,211.58773082767487,1.066866461070617,0.9956687416045213
Prophet,162.84641709621744,211.44103454191145,1.1070925531541427,0.9956747453482993
